"news_words","hunspell_stem","hunspell_time","porter_stem","porter_time","rslp_stem","rslp_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"seguir","seguir",12.390828371048,"segu",0.198192596435547,"segu",1.52621078491211,"seg","segu","segui","seguir","seguir","seguir"
"verdade","verdade",12.4587163925171,"verdad",0.199030160903931,"verdad",1.53434443473816,"ver","verd","verda","verdad","verdade","verdade"
"apresentar","presentar",12.5204191207886,"apresent",0.199870109558105,"apresent",1.54214596748352,"apr","apre","apres","aprese","apresen","apresent"
"boa","boar",12.5832352638245,"boa",0.200720310211182,"boa",1.55199837684631,"boa","boa","boa","boa","boa","boa"
"concurso","concursar",12.651303768158,"concurs",0.201561450958252,"concurs",1.56054472923279,"con","conc","concu","concur","concurs","concurso"
"construção","construção",12.7139935493469,"construçã",0.202418804168701,"construc",1.56872606277466,"con","cons","const","constr","constru","construç"
"escola","escol",12.7810447216034,"escol",0.203296422958374,"escol",1.57724332809448,"esc","esco","escol","escola","escola","escola"
"fazem","fazer",12.8434388637543,"faz",0.204152345657349,"faz",1.58548521995544,"faz","faze","fazem","fazem","fazem","fazem"
"instituição","instituição",12.9081354141235,"instituiçã",0.205018043518066,"institu",1.59299612045288,"ins","inst","insti","instit","institu","institui"
"investimento","investir",12.9769759178162,"invest",0.205888032913208,"invest",1.60003900527954,"inv","inve","inves","invest","investi","investim"
"movimento","mover",13.0375170707703,"moviment",0.206777572631836,"mov",1.60682964324951,"mov","movi","movim","movime","movimen","moviment"
"mãos","mão",13.0990750789642,"mã",0.207643032073975,"mao",1.61576676368713,"mão","mãos","mãos","mãos","mãos","mãos"
"obras","obrar",13.1660223007202,"obras",0.208496570587158,"obr",1.62547397613525,"obr","obra","obras","obras","obras","obras"
"organização","organização",13.2273850440979,"organiz",0.209347724914551,"organiz",1.63277673721313,"org","orga","organ","organi","organiz","organiza"
"políticas","político",13.2901582717896,"polít",0.210190773010254,"polit",1.64089941978455,"pol","polí","polít","políti","polític","política"
"suspensão","suspensão",13.3606960773468,"suspensã",0.211045503616333,"suspens",1.64927816390991,"sus","susp","suspe","suspen","suspens","suspensã"
"violência","violência",13.4236083030701,"violênc",0.212148904800415,"viol",1.65695905685425,"vio","viol","violê","violên","violênc","violênci"
"voltar","voltar",13.4917862415314,"volt",0.213105916976929,"volt",1.66482305526733,"vol","volt","volta","voltar","voltar","voltar"
"voltou","voltar",13.551938533783,"volt",0.213955879211426,"volt",1.67324233055115,"vol","volt","volto","voltou","voltou","voltou"
"caixa","caixe",13.6126925945282,"caix",0.214944839477539,"caix",1.68223452568054,"cai","caix","caixa","caixa","caixa","caixa"
"então","então",13.6799614429474,"entã",0.215788125991821,"ent",1.69051575660706,"ent","entã","então","então","então","então"
"porto","portar",13.7415943145752,"port",0.216654062271118,"port",1.69880604743958,"por","port","porto","porto","porto","porto"
"ambiente","ambientar",13.8040082454681,"ambient",0.217495441436768,"ambi",1.70603513717651,"amb","ambi","ambie","ambien","ambient","ambiente"
"digital","digital",13.8705940246582,"digital",0.218340158462524,"digit",1.71344232559204,"dig","digi","digit","digita","digital","digital"
"eleição","eleição",13.934642791748,"eleiçã",0.219183444976807,"ele",1.72070384025574,"ele","elei","eleiç","eleiçã","eleição","eleição"
"equipes","equipar",13.9974999427795,"equip",0.220044612884521,"equip",1.74861884117126,"equ","equi","equip","equipe","equipes","equipes"
"hospitais","hospital",14.0662128925323,"hospit",0.220877647399902,"hospit",1.75629186630249,"hos","hosp","hospi","hospit","hospita","hospitai"
"investigação","investigação",14.1297492980957,"investig",0.221715450286865,"investig",1.76333355903625,"inv","inve","inves","invest","investi","investig"
"maiores","maior",14.1942007541656,"maior",0.222543239593506,"mai",1.77144050598145,"mai","maio","maior","maiore","maiores","maiores"
"mandato","mandato",14.262491941452,"mandat",0.223370790481567,"mandat",1.77999019622803,"man","mand","manda","mandat","mandato","mandato"
"maneira","maneirar",14.324446439743,"maneir",0.224215984344482,"man",1.78763747215271,"man","mane","manei","maneir","maneira","maneira"
"melhores","melhor",14.3924193382263,"melhor",0.225049018859863,"melhor",1.79904770851135,"mel","melh","melho","melhor","melhore","melhores"
"menor","menor",14.4525902271271,"menor",0.225876331329346,"men",1.80663776397705,"men","meno","menor","menor","menor","menor"
"morreu","morrer",14.5138492584229,"morr",0.226715326309204,"morr",1.81470894813538,"mor","morr","morre","morreu","morreu","morreu"
"médico","médico",14.5800623893738,"médic",0.227567911148071,"medic",1.82293701171875,"méd","médi","médic","médico","médico","médico"
"pagamento","pagar",14.6418521404266,"pagament",0.228443622589111,"pag",1.82978868484497,"pag","paga","pagam","pagame","pagamen","pagament"
"presença","presença",14.7040119171143,"presenc",0.229310989379883,"presenc",1.83897304534912,"pre","pres","prese","presen","presenç","presença"
"realização","realização",14.7723472118378,"realiz",0.23016881942749,"realiz",1.84659242630005,"rea","real","reali","realiz","realiza","realizaç"
"respeito","respeitar",14.8374218940735,"respeit",0.231050729751587,"respeit",1.85510110855103,"res","resp","respe","respei","respeit","respeito"
"resposta","respostar",14.9019091129303,"respost",0.232289791107178,"respost",1.86381268501282,"res","resp","respo","respos","respost","resposta"
"reunião","união",14.96795129776,"reuniã",0.233233451843262,"reun",1.87240386009216,"reu","reun","reuni","reuniã","reunião","reunião"
"sociedade","sociedade",15.0289587974548,"sociedad",0.234177112579346,"sociedad",1.88084983825684,"soc","soci","socie","socied","socieda","sociedad"
"trimestre","trimestre",15.0959963798523,"trimestr",0.235108137130737,"trimestr",1.88910794258118,"tri","trim","trime","trimes","trimest","trimestr"
"venda","vender",15.157356262207,"vend",0.236057281494141,"vend",1.89774250984192,"ven","vend","venda","venda","venda","venda"
"zona","zonar",15.2207999229431,"zon",0.237257242202759,"zao",1.90683650970459,"zon","zona","zona","zona","zona","zona"
"militar","militar",15.3187959194183,"milit",0.238962888717651,"milit",1.9148690700531,"mil","mili","milit","milita","militar","militar"
"nesta","neste",15.3792674541473,"nest",0.23990797996521,"nest",1.92356610298157,"nes","nest","nesta","nesta","nesta","nesta"
