"wiki_words","hunspell_stem","hunspell_time","rslp_stem","rslp_time","porter_stem","porter_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"posição","posição",6.80631232261658,"pos",0.910492658615112,"posiçã",0.132622003555298,"pos","posi","posiç","posiçã","posição","posição"
"alto","alto",6.88154983520508,"alt",0.919478178024292,"alto",0.133511304855347,"alt","alto","alto","alto","alto","alto"
"criação","criação",6.9428403377533,"cri",0.926833152770996,"criaçã",0.134414196014404,"cri","cria","criaç","criaçã","criação","criação"
"importante","importar",7.00505304336548,"import",0.933921813964844,"import",0.135286331176758,"imp","impo","impor","import","importa","importan"
"jovem","jovem",7.07967758178711,"jov",0.942182540893555,"jov",0.136151075363159,"jov","jove","jovem","jovem","jovem","jovem"
"modo","modo",7.14136719703674,"mod",0.964769840240479,"mod",0.13701319694519,"mod","modo","modo","modo","modo","modo"
"água","água",7.20294523239136,"agu",0.974107265472412,"águ",0.137874603271484,"águ","água","água","água","água","água"
"estados","estar",7.26393294334412,"est",0.98183798789978,"estad",0.138739585876465,"est","esta","estad","estado","estados","estados"
"agora","agora",7.33899974822998,"ag",0.989730834960938,"agor",0.139596462249756,"ago","agor","agora","agora","agora","agora"
"março","março",7.40015888214111,"marc",0.998242378234863,"marc",0.140451431274414,"mar","març","março","março","março","março"
"município","município",7.46208024024963,"municipi",1.00659394264221,"municípi",0.141316175460815,"mun","muni","munic","municí","municíp","municípi"
"novos","novos",7.53695797920227,"nov",1.01554393768311,"nov",0.142183780670166,"nov","novo","novos","novos","novos","novos"
"única","único",7.59805822372437,"unic",1.02481460571289,"únic",0.143046379089355,"úni","únic","única","única","única","única"
"assim","assim",7.65941953659058,"assim",1.03278088569641,"assim",0.143904685974121,"ass","assi","assim","assim","assim","assim"
"deve","dever",7.7337749004364,"dev",1.04280591011047,"dev",0.144769430160522,"dev","deve","deve","deve","deve","deve"
"dezembro","dezembro",7.79554510116577,"dezembr",1.05179405212402,"dezembr",0.145675420761108,"dez","deze","dezem","dezemb","dezembr","dezembro"
"filhos","filhos",7.85702872276306,"filh",1.06116366386414,"filh",0.146552324295044,"fil","filh","filho","filhos","filhos","filhos"
"jogador","jogar",7.917799949646,"jog",1.06920218467712,"jogador",0.147756099700928,"jog","joga","jogad","jogado","jogador","jogador"
"novas","novar",7.99367451667786,"nov",1.07880711555481,"nov",0.148975610733032,"nov","nova","novas","novas","novas","novas"
"casos","casos",8.05425548553467,"cas",1.08814215660095,"cas",0.150084733963013,"cas","caso","casos","casos","casos","casos"
