108	1277	4	15.74
105	325	5	4.03
111	371	5	12.6
416	101	17	36.38
1406	101	4	7.07
1345	1034	8	124.01
128	887	4	24.13
1802	101	8	31.14
1104	104	3	6.08
106	4335	3	17.93
1417	102	3	6.94
578	832	3	31.66
276	117	3	4.92
3053	191	4	46.35
1663	14	4	8.59
8	3655	3	22.66
202	129	4	11.38
12	3449	4	12.65
532	14	10	17.57
376	149	17	147.07
6534	12	3	16.35
201	12	36	44.76
799	14	5	5.94
1923	382	3	34.4
102	1383	3	6.61
102	1451	5	16.79
101	863	6	9.45
223	124	5	13.2
1421	14	4	7.62
106	696	5	13.01
117	659	4	15.85
3620	4239	4	82.55
549	101	12	25.39
2264	111	4	23.81
135	141	3	4.33
107	2657	3	14.17
116	453	3	7.79
12	2055	3	4.07
666	101	5	4.49
2391	102	4	16.27
5163	101	3	14.23
453	113	5	16.17
178	1544	4	38.04
116	572	4	14.54
1944	8	3	17.55
147	539	5	34.38
733	1534	6	85.06
581	101	14	35.38
108	141	37	99.45
708	102	7	17.89
108	315	8	19.23
114	2225	4	25.87
125	212	3	5.02
103	2379	3	11.04
890	1027	9	130.99
154	6854	3	40.4
112	395	4	9.88
1058	105	3	5.88
126	202	3	5.12
1732	121	4	26.24
1319	120	6	39.15
377	182	12	105.13
101	1624	5	12.89
673	6361	3	52.29
1170	105	3	6.61
5116	6625	3	68.62
57	508	3	10.46
103	886	8	27.98
2059	12	3	4.07
12	329	14	10.81
12	6454	3	16.35
109	344	6	13.27
103	2817	4	18.46
1574	105	4	13.27
103	2681	3	11.76
126	4677	3	26.81
1030	106	3	6.98
103	584	11	36.68
106	1459	8	42.38
1247	3066	3	45.63
107	1817	5	25.33
602	387	3	27.09
108	2544	6	41.67
971	5681	3	50.02
102	612	9	24.68
103	1345	5	17.56
1026	101	4	4.79
103	1211	7	27.44
738	104	18	91.84
1848	104	8	44.28
16	102	27	20.38
113	1572	3	14.32
3298	101	7	43.49
2372	101	5	17.66
203	114	7	15.59
107	938	4	11.95
110	588	4	11.6
266	14	14	12.83
101	2848	3	8.51
671	9	6	29.52
1773	124	3	18.61
148	127	4	5.35
1584	12	4	5.43
3452	12	5	19.15
105	967	3	5.46
1494	366	6	75.45
3281	14	3	9.55
101	4968	3	14.23
101	2899	6	28.47
753	105	3	4.11
108	1841	3	12.72
4305	12	3	9.89
370	12	30	71.44
861	106	5	14.79
111	983	4	16.16
105	712	3	3.97
